Country,Persons (%)
Australia,8.5
Austria,20.6
Belgium,15.4
Canada,8.7
Chile,17.6
Colombia,13#
Costa Rica,6.9~
Czechia,17.6
Denmark,13.9
Estonia,15.9
Finland,12#
France,25.3
Germany,14.6
Greece,24.9
Hungary,24.9
Iceland,6.2#
Ireland,14
Israel,16.4
Italy,19.1
Japan,16.7
Korea,15.4
Latvia,22.6
Lithuania,18.9
Luxembourg,20.3
Mexico,8.6#
Netherlands,14.7
New Zealand,8
Norway,7
Poland,17.1
Portugal,14.2
Slovak Republic,21
Slovenia,17.4
Spain,19.8
Sweden,9.7
Switzerland,19.1
Türkiye,28
United Kingdom,12.7
United States,8.8
